,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
128,catboost,2022,2018–2021,997,250,50.7115,-0.0071967775936447875,0.035390217907605374,0.028041794426919255,575.961,Gold-T+14
129,catboost,2023,2019–2022,1000,247,55.7488,-0.01461296425186065,0.03208951014510251,0.025884584994137896,575.961,Gold-T+14
130,catboost,2024,2020–2023,999,249,54.7771,-0.1509697294789636,0.03396913860229134,0.026595181182103324,575.961,Gold-T+14
131,catboost,2025,2021–2024,997,177,56.3099,-0.45559706749680906,0.04023509352279052,0.032157452801074245,575.961,Gold-T+14
132,xgboost,2015,2011–2014,989,249,12.6043,-0.01553610461922017,0.03504061727303806,0.027865191072424803,180.739,Gold-T+14
133,xgboost,2016,2012–2015,987,247,22.891,-0.0710313442165178,0.041221497610985584,0.03326051391024682,180.739,Gold-T+14
134,xgboost,2017,2013–2016,990,246,11.2644,-0.8873595141434512,0.0364056652561259,0.030394936394293335,180.739,Gold-T+14
135,xgboost,2018,2014–2017,988,247,22.6905,0.011856190127339405,0.018988587905853456,0.015742486634646526,180.739,Gold-T+14
136,xgboost,2019,2015–2018,989,248,22.8974,-0.18196500668981752,0.026631896104338682,0.020635063210663628,180.739,Gold-T+14
137,xgboost,2020,2016–2019,988,251,10.6898,-0.016023156006305328,0.039732299569622674,0.029685823021121983,180.739,Gold-T+14
138,xgboost,2021,2017–2020,992,251,9.9128,0.009054529195675731,0.0309546017423125,0.024712202638193757,180.739,Gold-T+14
139,xgboost,2022,2018–2021,997,250,10.3954,0.03130792290032669,0.03470714951868249,0.028455331987772035,180.739,Gold-T+14
140,xgboost,2023,2019–2022,1000,247,10.8155,0.04495730764743078,0.03113323693812984,0.024824954879740662,180.739,Gold-T+14
141,xgboost,2024,2020–2023,999,249,11.3594,-0.15072758234672845,0.033965565110319944,0.026592577064776326,180.739,Gold-T+14
142,xgboost,2025,2021–2024,997,177,23.3966,-0.45498597452053247,0.040226646829426976,0.03206213347178905,180.739,Gold-T+14
143,mlp,2015,2011–2014,989,249,10.5238,-0.15075427852420376,0.03730056095517935,0.029390325159575317,135.352,Gold-T+14
144,mlp,2016,2012–2015,987,247,8.6472,-0.1438798571677231,0.042600322003558774,0.03451110734261599,135.352,Gold-T+14
145,mlp,2017,2013–2016,990,246,8.9051,-0.059496714299637654,0.027276677016722106,0.022824425965017426,135.352,Gold-T+14
146,mlp,2018,2014–2017,988,247,10.34,-0.09428501205563267,0.019982407796638135,0.016670872194991564,135.352,Gold-T+14
147,mlp,2019,2015–2018,989,248,12.5164,-0.1508819158845769,0.026279382814243232,0.02046069035238718,135.352,Gold-T+14
148,mlp,2020,2016–2019,988,251,9.8228,-0.007495791229400028,0.03956521395206968,0.029447149125725533,135.352,Gold-T+14
149,mlp,2021,2017–2020,992,251,10.0422,-0.07415226936915875,0.03222799350574167,0.025061990152678862,135.352,Gold-T+14
150,mlp,2022,2018–2021,997,250,15.5415,-0.014286943832990007,0.035514564256158766,0.02922750552261766,135.352,Gold-T+14
